[1, 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'Attribute']
[2, '74.250', '74.750', '73.900', '+0.350', '+0.474%', '3.780M', '281.016M', '16.391', '500', '187.589B', '4.530', '4.175', '82.160', '63.110', None]
[3, '11.400', '11.520', '11.320', '+0.060', '+0.529%', '19.572M', '223.837M', '29.053', '1000', '202.593B', '0.392', '2.974', '14.271', '10.520', None]
[4, '18.520', '18.680', '18.220', '+0.140', '+0.762%', '3.501M', '64.897M', '16.685', '1000', '56.533B', '1.110', '1.485', '20.850', '11.765', None]
[5, '46.250', '46.400', '45.650', '+1.200', '+2.664%', '28.011M', '1.289B', '31.375', '400', '957.084B', '0.190', '2.514', '49.550', '27.500', None]
[6, '43.150', '43.250', '42.500', '+0.850', '+2.009%', '2.907M', '125.281M', '12.919', '500', '92.093B', '3.340', '6.489', '54.300', '38.800', None]
[7, '0.143', '0.151', '0.141', '-0.004', '-2.721%', '13.890M', '2.028M', '0.844', '2000', '572.000M', '0.169', '0.000', '0.920', '0.050', None]
[8, '4.520', '4.550', '4.500', '+0.030', '+0.668%', '9.213M', '41.650M', '', '1000', '34.938B', '-0.132', '7.120', '5.060', '3.336', None]
[9, '0.070', '0.075', '0.070', '-0.007', '-9.091%', '1.266M', '90,918', '', '6000', '249.815M', '-0.081', '0.000', '0.147', '0.051', None]
[10, '19.280', '19.720', '19.140', '+0.080', '+0.417%', '580,066', '11.212M', '', '1000', '26.252B', '-1.130', '4.253', '21.600', '12.940', None]
[11, '149.900', '151.300', '147.300', '+2.800', '+1.903%', '2.837M', '424.974M', '17.931', '100', '286.585B', '8.360', '3.669', '156.300', '109.200', None]
[12, '34.100', '34.150', '33.400', '+0.850', '+2.556%', '4.015M', '136.346M', '9.715', '1000', '165.091B', '3.510', '5.279', '34.750', '24.250', None]
[14, '32.350', '32.550', '31.700', '+0.250', '+0.779%', '1.198M', '38.712M', '', '1000', '33.634B', '-2.440', '4.451', '33.800', '19.730', None]
[16, '120.000', '120.700', '118.300', '+0.800', '+0.671%', '3.035M', '362.612M', '14.778', '500', '347.734B', '8.120', '4.125', '126.000', '83.900', None]
[17, '38.300', '38.500', '37.800', '+0.650', '+1.726%', '5.971M', '227.314M', '89.070', '1000', '97.236B', '0.430', '5.326', '41.600', '28.360', None]
[18, '0.540', '0.540', '0.520', '0.000', '0.000%', '270,000', '144,200', '', '2000', '1.295B', '-0.005', '3.704', '0.600', '0.365', None]
[19, '57.300', '57.800', '56.550', '+0.200', '+0.350%', '857,769', '48.992M', '9.550', '500', '51.868B', '6.000', '4.101', '65.800', '35.100', None]
[21, '0.280', '0.280', '0.260', '+0.005', '+1.818%', '510,000', '134,825', '', '5000', '1.113B', '-0.001', '0.000', '0.340', '0.070', None]
[22, '0.136', '0.136', '0.130', '+0.006', '+4.615%', '360,000', '47,760', '', '40000', '267.429M', '-0.036', '0.000', '0.150', '0.102', None]
[23, '17.940', '18.040', '17.780', '+0.200', '+1.127%', '609,877', '10.927M', '18.495', '200', '52.324B', '0.970', '2.230', '19.140', '13.800', None]
