[1, '61.700', '62.600', '61.300', '+0.150', '+0.2%', '7.58百萬', '4.69億', '5.973', '500', '2379.30億', '10.329', '5.14%', '45.050', '64.050', None]
[2, '73.450', '74.000', '73.250', '-0.250', '-0.3%', '4.46百萬', '3.28億', '16.200', '500', '1855.68億', '4.534', '4.22%', '65.000', '84.050', None]
[3, '11.720', '11.920', '11.700', '-0.020', '-0.2%', '1.71千萬', '2.02億', '29.898', '1000', '2082.80億', '0.392', '2.84%', '10.640', '14.181', None]
[4, '19.160', '19.600', '18.840', '-0.320', '-1.6%', '5.70百萬', '1.09億', '15.122', '1000', '584.86億', '1.267', '2.09%', '12.040', '20.850', None]
[5, '46.900', '47.300', '46.550', '+0.320', '+0.7%', '2.68千萬', '12.58億', '31.308', '400', '9958.37億', '1.498', '2.48%', '27.500', '49.500', None]
[6, '44.600', '44.850', '44.300', '+0.150', '+0.3%', '2.55百萬', '1.13億', '13.349', '500', '951.88億', '3.341', '6.28%', '39.200', '56.000', None]
[7, '0.132', '0.137', '0.129', '+0.005', '+3.9%', '1.48千萬', '1.97百萬', '0.781', '2000', '5.28億', '0.169', 'NA%', '0.050', '0.920', None]
[8, '4.450', '4.490', '4.450', '-0.040', '-0.9%', '1.04千萬', '4.65千萬', 'NA', '1000', '343.97億', '-0.132', '7.15%', '3.608', '5.060', None]
[9, '0.069', '0.070', '0.069', '0.000', '0.0%', '51.00萬', '3.54萬', 'NA', '6000', '2.46億', '-0.081', 'NA%', '0.051', '0.147', None]
[10, '19.560', '19.700', '19.420', '+0.240', '+1.2%', '42.77萬', '8.36百萬', 'NA', '1000', '266.33億', '-1.132', '4.19%', '13.130', '21.600', None]
[11, '152.400', '154.000', '151.100', '+1.300', '+0.9%', '1.99百萬', '3.03億', '18.225', '100', '2913.65億', '8.362', '3.61%', '110.000', '156.300', None]
[12, '33.950', '34.450', '33.500', '+0.050', '+0.1%', '3.05百萬', '1.04億', '9.672', '1000', '1643.65億', '3.510', '5.30%', '26.050', '35.550', None]
[14, '32.050', '33.050', '32.000', '-0.550', '-1.7%', '1.94百萬', '6.28千萬', 'NA', '1000', '333.22億', '-2.445', '4.49%', '20.000', '33.800', None]
[16, '117.900', '121.000', '117.500', '-1.300', '-1.1%', '5.18百萬', '6.14億', '14.525', '500', '3416.48億', '8.117', '4.20%', '87.600', '126.000', None]
[17, '40.400', '40.800', '40.000', '+0.600', '+1.5%', '4.27百萬', '1.72億', '94.172', '1000', '1025.69億', '0.429', '5.05%', '29.840', '42.500', None]
[18, '0.500', '0.500', '0.490', '+0.010', '+2.0%', '11.20萬', '5.58萬', 'NA', '2000', '11.99億', '-0.005', 'NA%', '0.385', '0.600', None]
[19, '55.200', '56.950', '54.000', '+0.550', '+1.0%', '2.16百萬', '1.20億', '9.203', '500', '499.67億', '5.998', '5.43%', '35.100', '64.050', None]
[21, '0.236', '0.240', '0.210', '-0.012', '-4.8%', '1.31百萬', '28.98萬', 'NA', '5000', '9.38億', '-0.001', 'NA%', '0.070', '0.340', None]
[22, '0.122', 'NA', 'NA', '0.000', '0.0%', '0', '0', 'NA', '40000', '2.40億', '-0.036', 'NA%', '0.102', '0.150', None]
[23, '18.380', '19.500', '18.220', '-0.320', '-1.7%', '1.29百萬', '2.41千萬', '18.968', '200', '542.95億', '0.969', '2.18%', '13.800', '19.280', None]
